Enzyme_name,Name,CSMILES,AUC,AUC_binary
71C1,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,5282.0,1
71D1,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,10375.0,1
72B3,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,2455.0,1
73B3,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,5107.0,1
73C5,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,30531.0,1
73C3,3ALPHA-HYDROXY-3-DEOXYANGOLENSIC ACID METHYL ESTER,C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C,60595.0,1
73C5,3ALPHA-HYDROXY-3-DEOXYANGOLENSIC ACID METHYL ESTER,C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C,228638.0,1
76E4,AVOCADYNE ACETATE,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,664691.0,1
79B11,AVOCADYNE ACETATE,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,617614.0,1
87A2,AVOCADYNE ACETATE,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,197285.0,1
89A1,AVOCADYNE ACETATE,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,694218.0,1
71B1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,25132.0,1
71C1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,625487.0,1
71C2,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,709242.0,1
71C3,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,12646.0,1
71D1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,158329.0,1
72B1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,20675.0,1
72D1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,26032.0,1
73B3,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,18567.0,1
73B4,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,4608.0,1
