Mix,Name,CSMILES,Enzyme_name,single_double,CosineScore_single,RT_single,AUC_single,Adduct_single,C-gly_single,MoNA_DB#_single,CosineScore_double,RT_double,AUC_double,Adduct_double,C-gly_double,MoNA_DB#_double
1,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,71C1,single,0.879,67.92,5282.0,M+Glu+H,False,EQ329904,,,,,,
1,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,71D1,single,0.857,70.03,10375.0,M+Glu+H,False,EQ329904,,,,,,
1,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,72B3,single,0.933,344.32,2455.0,M+Glu+H,False,EQ329905,,,,,,
1,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,73B3,single,0.852,69.55,5107.0,M+Glu+H,False,EQ329904,,,,,,
1,3-HYDROXYTYRAMINE,NCCc1ccc(O)c(O)c1,73C5,single,0.924,67.88,30531.0,M+Glu+H,False,EQ329904,,,,,,
1,3ALPHA-HYDROXY-3-DEOXYANGOLENSIC ACID METHYL ESTER,C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C,73C3,single,0.884,533.82,60595.0,M+Glu+NH4,False,VF-NPL-QEHF013677,,,,,,
1,3ALPHA-HYDROXY-3-DEOXYANGOLENSIC ACID METHYL ESTER,C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C,73C5,single,0.943,535.69,228638.0,M+Glu+H,False,VF-NPL-QEHF013677,,,,,,
1,AVOCADYNE ACETATE,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,76E4,single,0.891,665.14,664691.0,M+Glu+H,False,VF-NPL-QEHF011409,,,,,,
1,AVOCADYNE ACETATE,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,79B11,single,0.902,652.87,617614.0,M+Glu+H,False,VF-NPL-QEHF011409,,,,,,
1,AVOCADYNE ACETATE,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,87A2,single,0.879,654.91,197285.0,M+Glu+H,False,VF-NPL-QEHF011409,,,,,,
1,AVOCADYNE ACETATE,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,89A1,single,0.885,678.7,694218.0,M+Glu+H,False,VF-NPL-QEHF011409,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,71B1,single,0.892,383.28,25132.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,71C1,single,0.916,387.06,625487.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,71C2,single,0.918,379.23,709242.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,71C3,single,0.903,380.73,12646.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,71D1,single,0.92,386.06,158329.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,72B1,single,0.867,385.21,20675.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,72D1,single,0.895,383.49,26032.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,73B3,single,0.929,316.17,18567.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,73B4,single,0.911,317.59,4608.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,73C2,single,0.865,381.18,4345.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,73C5,single,0.915,382.56,28133.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,74D1,single,0.921,383.32,22495.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,75B2,single,0.909,383.41,85706.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,76E9,single_and_double,0.942,319.42,21314.0,M+Glu+H,False,VF-NPL-QTOF007029,0.921,259.92,14620.0,M+2Glu+ACN+H,False,VF-NPL-QTOF007029
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,76F1,single,0.923,316.24,9946.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,76F2,single,0.909,380.77,13009.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,79B11,single,0.923,379.89,90597.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,79B2,single,0.866,490.35,60026.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,85A1,single,0.879,381.12,4356.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,87A2,single,0.92,383.3,245039.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,90A2,single,0.866,380.71,6089.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,90A4,single,0.861,380.78,5366.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,91B1,single,0.914,382.89,114321.0,M+Glu+H,False,VF-NPL-QTOF007029,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,71B1,single,0.951,606.91,19339.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,71C2,single,0.963,721.49,20594.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,72B1,single,0.968,485.37,43237.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,73B3,single,0.963,487.68,41834.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,73B4,single,0.963,487.73,36574.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,73C5,single,0.981,664.24,32870.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,74B1,single,0.974,665.37,42036.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,75D1,single,0.987,663.87,171111.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,79B7,single,0.969,666.18,20628.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,85A1,single,0.85,750.8,5867.0,M+Glu+H,False,VF-NPL-QEHF002633,,,,,,
1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,90A2,single,0.958,477.75,49466.0,M+Glu+H,False,VF-NPL-QEHF002634,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,71B1,single,0.88,245.08,12170.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,71C1,single,0.872,246.5,13860.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,71C2,single,0.856,245.99,20740.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,71C3,single,0.961,561.25,6993.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,71D1,single,0.887,246.03,22510.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,72B1,single_and_double,0.92,247.63,12558.0,M+Glu+H,False,LU112006,0.988,720.97,180207.0,M+2Glu+ACN+H,False,LU112006
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,72B3,single,0.986,560.83,4103.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,72D1,single,0.881,244.54,29631.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,72E1,single,0.866,248.39,15012.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,72E2,single,0.908,244.79,46153.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,72E3,single,0.894,244.5,16194.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,73B2,single,0.905,248.66,13771.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,73B4,single,0.873,245.84,6737.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,73C2,single,0.906,418.13,4718.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,73C5,single,0.877,247.73,38175.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,74C1,single,0.93,244.93,20133.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,75B2,single,0.988,560.4,2578.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,75C1,single,0.894,620.1,1819.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,76C3,single,0.864,248.56,12736.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,76D1,single,0.987,380.09,69791.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,76E2,single,0.85,245.21,9982.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,76E6,single,0.859,245.1,12257.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,76E7,single,0.863,245.66,15623.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,76F2,single,0.901,244.97,16525.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,78D1,single,0.906,245.85,16819.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,78D2,single,0.912,248.42,18244.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,78D3,single,0.85,245.32,12330.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,79B1,single,0.908,247.32,17053.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,79B10,single,0.883,246.4,22350.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,79B11,single,0.971,559.29,38931.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,79B7,single,0.863,245.92,10858.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,79B9,single,0.856,247.18,19612.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,80A2,single,0.897,244.78,19763.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,84A2,single_and_double,0.869,248.0,8773.0,M+Glu+H,False,LU112006,0.988,719.79,187526.0,M+2Glu+ACN+H,False,LU112006
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,84B2,single,0.868,248.14,12125.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,85A1,single,0.913,417.61,8196.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,86A2,single,0.855,247.02,19356.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,87A1,single,0.852,248.0,13432.0,M+Glu+H,False,LU112006,,,,,,
1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,87A2,single,0.979,558.37,16018.0,M+Glu+H,False,LU112006,,,,,,
